age,monthly_income,loan_amount,credit_score,employment_years,existing_loans,default
39,18970,589475,784,11.3,1,0
28,50520,1838319,782,17.1,3,0
65,65362,287815,795,3.2,5,0
33,75914,822168,677,1.3,0,0
50,32357,565105,763,3.6,1,0
26,33010,1247682,676,22.8,1,0
23,34736,701504,609,1.7,2,1
33,67632,197444,769,4.8,2,0
46,91156,111475,810,5.9,0,0
20,38388,567507,598,1.2,3,1
37,84522,289884,596,4.4,1,0
53,52790,201944,683,1.9,0,0
36,45498,160482,756,9.6,2,0
43,43181,503218,589,6.3,1,0
20,76723,1477949,698,8.8,1,0
36,59596,319036,632,1.1,2,0
37,192046,709429,736,0.2,3,0
49,29397,407659,616,9.5,2,1
24,66893,157707,741,2.4,2,0
69,35684,796393,667,1.0,2,1
58,29098,184286,605,0.5,3,1
50,48702,450134,685,3.6,1,0
57,53231,336644,524,0.8,3,1
56,282350,903889,635,4.2,3,0
35,43893,189753,706,6.5,3,0
57,24881,604825,538,3.8,3,1
18,57745,225971,474,11.7,4,1
28,15000,293935,492,0.8,1,1
45,46389,50000,786,3.4,1,0
42,49494,2358836,673,0.9,1,1
67,78965,687244,637,10.4,1,0
40,87919,239455,755,13.5,1,0
48,36237,179921,647,2.6,0,0
47,44785,297592,701,1.8,2,0
59,30956,785050,682,1.6,0,0
52,24913,97375,642,9.8,1,0
24,59038,395036,703,5.7,0,0
33,22830,1823947,741,10.6,2,1
43,38224,178589,665,0.6,0,0
65,26981,471798,643,3.2,0,0
69,68173,2578318,652,5.6,1,1
66,144474,733601,496,11.4,2,1
19,22450,489303,702,2.4,2,0
18,16126,663516,583,1.9,3,1
65,45481,321035,730,12.2,1,0
29,49484,1251314,672,0.2,2,1
22,55893,321430,688,3.3,2,0
54,37504,92286,736,3.1,1,0
49,43460,323501,605,0.8,1,0
26,61114,204150,709,2.5,1,0
58,91515,353290,701,6.4,4,0
52,15168,359594,665,2.3,2,0
36,39286,1153070,605,1.9,0,1
65,55730,771609,727,7.6,2,0
33,28260,546130,736,22.4,3,0
20,138510,441372,689,7.6,1,0
37,33481,189645,594,9.4,4,0
41,47821,77269,637,14.0,0,0
50,68433,484333,675,8.1,2,0
41,34379,835439,735,19.6,3,0
69,16188,405685,553,6.9,2,1
28,37903,288403,634,5.4,2,0
66,90913,641523,647,5.9,1,0
25,40049,413881,673,11.5,2,0
53,29499,1704181,575,5.7,0,1
55,85425,1186101,662,7.2,0,0
57,40196,953225,655,1.2,0,0
37,36094,811132,596,12.2,2,1
52,53619,157607,670,3.0,0,0
65,77843,751927,636,0.9,2,0
42,204644,597829,719,8.0,1,0
52,80526,718657,609,2.2,1,0
42,98312,656112,687,1.0,1,0
46,36185,635527,615,1.5,3,0
35,26488,3838887,632,0.2,0,1
63,50888,416254,703,0.5,1,0
35,52276,935718,698,4.5,0,0
19,25665,303521,646,10.1,0,0
52,44126,832770,658,3.0,1,0
33,62292,937953,563,4.9,3,1
58,60854,592165,792,8.3,1,0
53,66341,1681837,734,2.2,0,0
50,58371,218071,732,5.3,4,0
21,36163,299605,552,2.2,3,0
50,36013,524344,632,5.1,1,0
31,23876,895059,653,1.2,1,1
38,143037,510703,525,19.0,3,1
65,49418,1237504,751,0.4,0,0
37,42834,260575,796,3.5,2,0
25,28077,177644,844,1.7,4,0
24,285328,566086,596,4.6,5,0
20,25745,415923,689,2.8,2,0
34,37899,683027,785,1.8,1,0
50,62912,432820,659,1.4,2,0
65,70271,337049,634,1.0,1,0
29,87095,416670,530,7.6,2,1
68,145011,452742,770,1.3,2,0
39,66416,346630,678,7.4,1,0
39,26013,376056,621,3.3,3,0
63,42017,320335,702,0.4,1,0
47,58965,877938,692,0.9,0,0
55,169555,516699,693,11.2,1,0
55,21190,2690942,662,4.6,2,1
62,100865,503109,809,1.0,3,0
68,54608,284734,669,6.1,4,0
25,81040,3747278,809,8.7,0,0
44,46110,615937,725,2.0,1,0
44,29570,976861,708,4.1,1,0
51,76920,710470,670,1.7,4,0
38,72595,728256,757,0.4,2,0
47,87836,679099,689,2.6,2,0
50,48631,183199,605,7.0,0,0
45,34204,593636,602,3.1,2,0
64,19239,153293,713,2.6,1,0
50,80147,384811,607,2.3,5,0
22,63217,247584,675,3.1,1,0
65,27461,588879,764,1.9,1,0
36,35484,577983,704,4.7,2,0
21,37047,650122,622,0.3,0,0
52,20134,556730,792,8.2,0,0
66,30013,272267,723,1.0,1,0
34,24827,359042,761,5.0,4,0
61,38273,923861,498,3.0,0,1
45,31469,1039536,706,7.4,4,0
47,18468,176764,747,8.7,0,0
46,164975,129995,816,1.1,1,0
63,103935,247332,562,5.7,1,0
23,30717,1020870,776,1.1,0,0
52,57725,1169289,811,0.7,1,0
58,62974,211130,518,13.3,2,0
54,100172,565716,718,0.9,3,0
41,29996,1919441,729,1.3,3,1
46,94396,616768,653,0.7,1,0
66,35286,1379459,640,3.2,1,1
63,21993,983606,733,12.6,4,0
48,75696,213595,630,1.5,2,0
52,106346,380033,662,3.9,1,0
50,231594,454886,744,2.7,4,0
69,23864,480848,820,2.0,2,0
38,74559,920859,723,4.2,3,0
49,38335,613507,690,4.1,1,0
40,78434,50000,638,2.2,1,0
50,20286,154775,599,9.5,0,0
20,22979,76887,768,0.3,1,0
35,30775,509045,667,0.4,2,0
42,51399,536268,772,23.4,2,0
59,33367,554920,653,6.9,0,0
48,72797,205429,628,8.1,0,0
20,90774,758664,713,4.6,0,0
57,70245,784663,673,2.7,2,0
63,129478,162085,583,5.0,1,0
41,62912,136922,825,0.5,4,0
67,23620,442366,629,7.1,3,0
49,111082,1855056,754,3.9,2,0
64,34095,1723373,747,15.7,1,0
39,84647,694344,579,5.1,1,1
40,126025,246718,599,0.8,2,0
19,64473,899391,655,3.2,2,0
44,19976,308063,610,0.3,3,0
59,28256,239424,818,6.8,1,0
19,108406,79604,663,3.5,1,0
43,44290,480174,751,2.3,1,0
34,51418,267294,721,17.3,1,0
57,77288,477894,701,14.1,4,0
50,74443,70299,683,15.3,3,0
26,57946,506794,778,1.2,1,0
60,43252,63265,613,6.5,2,0
65,40635,1056373,818,14.5,2,0
56,82021,671663,577,4.2,3,0
46,68332,354005,742,1.2,2,0
59,42008,693964,567,8.5,0,0
43,93832,202306,654,10.6,3,0
52,45368,468785,687,6.1,1,0
67,29407,835528,641,1.7,2,1
42,31089,50000,665,1.1,2,0
41,27248,309347,569,4.9,1,1
30,41629,434471,601,3.3,3,1
24,102768,378119,719,5.5,0,0
53,30240,1419310,682,0.6,2,1
62,54889,180030,624,0.7,2,0
37,33056,269163,785,2.3,2,0
18,41932,95540,582,1.5,1,0
25,19810,1481001,651,4.8,0,1
63,42945,363294,639,2.3,2,0
33,43642,311536,729,5.8,1,0
31,67790,424222,683,7.3,2,0
29,56048,736002,671,1.0,3,0
68,23884,584136,532,12.6,2,1
40,93950,3679573,749,7.7,2,0
32,55613,636123,662,4.9,1,0
45,55217,304919,689,12.0,1,0
51,48751,282353,620,1.5,0,0
19,35930,323124,607,2.7,3,0
49,55864,133056,799,0.4,1,0
40,65209,456749,538,3.0,1,0
39,17186,828005,595,3.5,2,1
68,35480,270846,798,4.8,0,0
42,42067,231907,731,0.3,0,0
39,57165,1487721,653,0.2,1,1
39,100306,141324,779,2.7,1,0
66,30851,84604,715,1.0,2,0
69,36359,175901,698,7.1,2,0
59,36043,129011,698,5.5,2,0
23,30305,602583,717,2.0,3,0
32,39802,331517,720,0.2,2,0
60,77845,371108,850,1.0,2,0
54,26048,1112752,664,5.9,3,0
50,63366,254468,666,23.1,2,0
25,17656,822473,581,2.0,5,1
61,35003,1482229,675,8.1,4,1
61,40227,307266,829,10.1,1,0
22,133909,797804,758,0.2,0,0
56,41569,364596,636,12.4,0,0
21,15000,926601,682,3.1,0,1
23,15000,125845,576,16.7,0,0
62,50031,118609,602,3.9,0,0
49,70845,323510,691,1.3,2,0
69,61406,217262,640,18.4,1,0
47,54205,292620,596,1.4,1,0
64,98455,371156,719,10.7,0,0
52,35463,787021,673,1.0,4,0
57,83863,319295,554,5.6,3,0
69,18412,228870,513,2.6,1,1
33,28482,333964,634,17.9,1,0
30,16577,239111,552,1.0,0,1
67,41568,209566,530,2.6,2,0
59,47678,121733,770,5.1,2,0
47,52494,467700,672,19.0,2,0
36,50875,280698,658,1.8,0,0
34,28098,958402,664,2.5,0,1
36,43732,138979,588,3.1,2,0
45,19960,286740,712,1.5,0,0
43,111072,1886673,669,8.5,3,0
54,40856,208628,619,0.5,3,0
43,36558,366140,631,6.1,0,0
40,127180,167263,581,3.8,1,1
26,23263,150430,647,1.4,2,0
29,24950,1525524,660,3.4,1,1
18,25393,507286,645,8.9,3,0
18,47064,492348,684,2.9,0,0
64,63511,113885,673,0.6,1,0
51,76405,589478,698,0.2,2,0
49,229394,1116754,755,7.5,1,0
65,15000,1109679,727,2.0,2,1
42,70632,755146,756,13.4,2,0
57,35091,179227,612,4.8,1,0
62,34480,568353,639,2.9,3,1
18,33797,754694,732,4.2,0,0
33,28416,105286,733,3.1,4,0
56,134687,180408,625,11.8,1,0
22,81257,900338,728,3.1,1,0
39,49707,891656,604,0.5,2,0
46,110261,128172,718,4.5,0,0
20,19781,835693,677,4.9,1,1
29,22061,477463,569,7.2,2,1
43,15000,826377,645,13.5,2,1
33,32220,266301,850,2.9,3,0
68,54015,741289,696,2.2,1,0
54,52141,868969,850,3.4,0,0
39,53616,334011,564,11.5,1,0
46,21022,448741,740,19.6,0,0
31,79371,263335,477,17.7,0,0
45,56600,1658312,679,1.3,1,1
22,76102,401829,730,3.4,0,0
64,15746,211584,747,1.5,2,0
66,59094,249531,616,2.3,3,0
47,24036,489635,763,0.2,2,0
63,38623,808280,637,0.9,2,1
69,67549,151954,666,2.5,4,0
22,51774,1939863,645,2.3,3,1
29,29409,566334,589,1.6,1,1
33,49205,642527,805,1.3,1,0
43,19556,409318,683,6.9,1,0
43,97749,449282,766,1.7,2,0
65,43339,392924,763,6.1,1,0
38,95906,998727,602,2.3,1,0
56,35741,439616,777,8.1,3,0
53,35805,817200,720,0.9,2,0
50,30992,312675,596,0.9,2,1
47,82926,517369,715,5.7,0,0
54,32027,232550,598,12.3,2,0
40,72168,1170828,808,0.8,1,0
27,38969,227067,745,0.4,1,0
22,15000,341129,674,13.6,1,0
53,34815,343874,781,0.6,3,0
51,24161,333313,553,1.4,0,0
69,50028,788585,620,13.3,0,0
48,23998,343407,659,8.1,0,0
27,85441,1349358,850,2.1,0,0
36,46413,229858,594,15.5,2,0
49,44065,506612,543,4.2,0,1
18,72659,237844,564,0.4,4,0
22,87408,619568,752,6.1,2,0
62,48433,436804,632,3.9,1,0
21,30861,390799,667,4.3,1,0
33,16909,1144845,741,25.7,1,1
41,32479,262111,667,0.8,1,0
33,33849,707301,696,5.3,3,0
19,52272,239146,722,3.1,0,0
66,39851,484149,645,1.6,2,0
45,74069,169997,666,5.9,4,0
49,33935,260403,699,5.5,1,0
44,47371,414275,749,9.7,1,0
37,99747,1889304,616,10.6,2,0
41,60179,479569,438,4.1,1,1
29,47286,1662336,734,2.0,0,0
67,34160,527687,754,3.8,1,0
52,33525,324594,696,2.2,0,0
50,29425,1515847,701,1.6,0,1
50,35432,627572,634,4.0,1,0
68,77141,264559,720,5.4,0,0
60,42910,644646,748,4.5,1,0
54,21810,350082,684,15.4,2,0
29,141619,90108,850,1.8,1,0
20,59395,935445,554,2.3,0,1
18,21074,1062300,693,5.5,2,1
50,37604,1924840,586,4.6,1,1
57,52393,620148,750,0.0,3,0
27,136319,362587,553,1.9,2,1
60,25213,862846,573,1.5,0,1
61,88046,873144,629,9.2,0,0
46,113515,1640685,701,10.1,1,0
30,33617,426896,632,1.7,1,0
29,41501,387525,633,0.5,2,0
48,26323,249587,665,1.1,1,0
63,43387,680082,660,1.0,0,0
19,47956,128205,798,1.4,2,0
68,72823,823130,734,1.3,1,0
67,94288,708048,654,3.3,1,0
52,31292,706484,847,1.9,1,0
40,15057,494142,719,4.1,2,1
34,48399,1508132,602,2.1,0,1
43,58461,888770,700,8.4,0,0
25,56934,272212,722,15.1,2,0
46,40295,276138,624,2.6,3,0
43,52830,218876,595,0.3,2,1
27,121694,687644,686,1.4,1,0
43,61638,198767,651,0.5,1,0
51,39182,1052536,798,2.1,1,0
68,36311,1274900,739,5.2,1,0
58,44271,218991,628,3.7,1,0
24,130881,381383,714,1.4,2,0
21,43915,448335,781,7.3,2,0
67,48442,897336,568,0.7,3,0
62,36702,1603139,598,1.3,0,1
28,94787,114875,679,5.6,4,0
46,158879,342989,682,1.1,2,0
53,64239,357605,675,5.7,1,0
42,51516,144273,655,18.8,1,0
38,50114,300112,653,8.9,1,0
53,15000,622946,710,0.9,0,0
27,76656,354001,770,3.7,2,0
54,53130,128579,641,2.7,3,1
26,63386,4409474,850,23.9,3,0
41,31988,547403,836,16.7,4,0
52,38922,483765,786,0.7,0,0
66,38306,183810,729,12.0,1,0
52,90488,545013,840,1.1,3,0
65,39055,387948,656,1.9,1,0
53,171030,97653,613,2.2,0,0
35,63482,187924,637,1.7,0,0
66,22801,835629,599,9.6,0,0
56,45382,2095314,689,2.0,1,1
49,33156,593464,703,8.5,0,0
41,15000,1069248,696,25.9,0,1
40,127986,390582,679,9.2,3,0
49,74748,412818,690,2.1,2,0
54,67502,1058944,818,6.2,1,0
29,54135,1673155,729,3.8,2,0
66,21392,1252782,753,7.7,1,0
30,36674,188510,695,0.8,2,0
40,81232,419338,550,5.1,0,0
42,26088,552395,534,7.4,0,1
52,15000,359423,846,7.2,3,0
58,42776,603370,637,16.6,2,0
47,45023,852954,630,0.3,1,1
34,53174,986824,699,2.1,2,0
66,75895,1704352,724,3.2,3,0
37,71866,339913,734,1.9,2,0
65,57254,148564,821,1.9,1,0
42,100440,589239,800,1.0,0,0
39,19704,1996784,615,8.4,0,1
30,66353,302071,757,11.9,1,0
36,71390,766413,649,0.4,3,0
66,23301,771889,668,0.8,3,1
53,19896,515634,592,1.3,0,0
29,31333,444871,544,3.6,4,1
58,32960,211347,677,7.8,4,0
36,77037,71301,603,0.4,3,0
29,33903,181773,754,5.1,1,0
26,29324,323759,657,0.8,2,0
24,33962,1064417,704,17.8,2,0
45,95911,407378,789,11.5,2,0
31,49405,292078,561,14.9,3,1
48,44022,216904,622,0.6,0,0
69,45889,748214,694,3.3,3,0
36,106429,1311504,705,0.9,3,0
64,31272,1035866,768,4.6,3,0
33,107937,718499,749,1.3,2,0
22,55619,135877,687,7.4,4,0
52,44522,333921,704,5.2,2,0
29,219814,2100830,706,4.2,1,0
42,26019,1085509,562,8.7,3,1
69,39647,129313,667,3.5,1,0
38,23401,423169,699,1.6,3,0
53,86810,591536,716,4.8,1,0
40,135065,240451,606,15.7,3,0
33,133512,69747,578,4.6,1,0
56,102167,478810,661,5.0,2,0
62,43539,235577,837,13.6,0,0
59,39373,236316,614,3.6,2,0
56,17985,333119,773,28.1,0,0
31,166295,397543,806,0.9,0,0
48,64950,439210,683,3.9,0,0
22,36491,218121,625,1.2,2,0
52,108752,370953,721,3.0,4,0
40,27346,108451,695,0.9,0,0
46,62565,567406,611,1.3,2,0
60,44197,50000,627,1.2,3,0
28,71912,350953,716,1.9,0,0
35,47186,922967,754,0.7,2,0
64,20525,189572,654,8.3,0,0
29,51294,784768,674,1.2,2,0
26,91979,1115246,733,2.7,1,0
27,48168,50000,666,0.1,0,0
61,78047,391957,656,0.6,0,0
34,26178,50000,619,11.3,3,0
55,48254,402493,618,9.1,2,0
24,33701,439882,850,9.2,0,0
63,76740,60716,664,2.6,3,0
30,49955,2063410,789,0.8,2,0
57,74164,556160,814,0.6,1,0
59,94148,224309,665,4.7,3,0
26,74233,1428740,709,8.8,2,0
67,57749,105188,688,11.5,2,0
44,26932,165489,551,1.7,0,0
19,48938,70293,555,1.9,1,0
22,35601,1868854,683,0.5,3,1
46,39877,577161,646,7.4,2,0
54,39154,749769,831,1.6,0,0
55,27229,562868,661,3.3,2,0
36,15147,700125,836,13.2,3,0
25,32830,470928,641,7.0,0,0
65,55051,549485,832,0.3,1,0
62,21831,482184,720,0.0,1,0
18,49484,271882,725,7.7,2,0
39,153301,426215,639,4.0,1,0
69,90565,550661,726,6.4,3,0
34,131416,483322,815,0.9,0,0
24,61986,135643,668,10.3,0,0
42,98765,150845,652,7.4,0,0
62,31749,1052073,660,11.1,3,0
21,33302,346072,809,2.1,1,0
53,15000,706289,748,1.6,1,0
23,99876,184666,795,0.8,2,0
48,123524,136146,705,13.3,3,0
36,35175,225285,683,1.0,1,0
61,42092,370255,713,0.6,1,0
56,31184,259857,765,1.1,4,0
44,61672,1245623,660,7.4,1,0
27,96274,510741,789,11.0,0,0
43,17228,1941848,709,8.3,1,1
36,62671,611412,487,4.1,1,1
56,41522,64212,750,25.5,3,0
20,52472,1029756,578,0.4,2,1
62,64562,132238,748,10.1,2,0
30,43786,532014,752,2.8,1,0
67,46066,238053,706,3.0,2,0
45,43117,2456305,723,0.7,2,1
37,87744,1399573,767,0.2,1,0
45,63023,244395,640,1.9,2,0
25,55957,399557,743,1.0,0,0
58,22866,538034,773,3.3,1,0
56,39059,882691,820,0.8,0,0
18,84052,452852,591,0.7,0,0
20,50142,194869,712,10.5,1,0
30,72818,249185,603,12.7,2,0
45,141479,440829,599,16.7,2,0
66,91414,1187743,708,5.7,1,0
42,51838,622980,686,7.4,2,0
50,36076,238295,771,9.0,2,0
55,15000,743183,652,5.4,1,1
23,44310,324620,669,2.0,1,0
61,40311,901960,696,0.9,0,0
62,61958,3340424,611,1.4,2,1
49,44696,332016,622,9.2,1,0
62,40447,840106,769,6.0,1,0
64,16854,243698,636,3.0,3,0
38,27889,404411,774,0.1,1,0
33,65250,453001,728,1.5,1,0
38,137247,378909,556,6.5,0,0
28,46234,3173707,722,3.6,1,1
54,59676,346183,721,2.9,1,0
53,86810,707491,713,1.9,4,0
52,30135,94459,668,4.7,3,0
36,61089,625056,604,17.0,1,0
37,31435,1103109,787,11.6,3,0
35,82363,290082,671,0.2,0,0
64,53682,59386,609,3.3,4,0
58,58634,428942,716,2.0,3,0
66,30651,448537,620,3.6,3,0
31,74923,789582,604,4.7,3,0
32,171241,2210484,649,1.1,1,0
48,26775,326425,626,7.6,1,0
18,39980,223009,607,3.2,2,0
20,56328,173940,744,24.1,0,0
33,78577,518379,670,0.1,0,0
40,35040,649191,780,1.1,1,0
28,15000,285922,611,5.8,5,1
29,110803,824841,541,5.9,1,1
27,77366,641976,691,4.4,2,0
49,17226,457982,828,17.9,1,0
33,34045,214930,722,2.7,2,0
25,125606,300892,850,2.7,0,0
55,116853,63335,706,12.1,2,0
